location_id,name,brand,address,city,state,zip_code,phone,latitude,longitude,website,is_kroger_banner,status,status_basis,source,api_collected_at_utc,department_count
61500318,Baker's - Galvin Rd Bakers on Galvin Road,BAKERS,801 Galvin Rd S,Bellevue,NE,68005,4022927070,41.1532885,-95.9157582,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,31
61500300,Baker's - Twincreek,BAKERS,3614 Twin Creek Dr,Bellevue,NE,68123,4022923992,41.1424307,-95.9687454,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,39
61500323,Baker's - Fremont,BAKERS,1531 N Bell St,Fremont,NE,68025,4027278622,41.4433803,-96.4852676,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,26
61500301,Baker's - Benson Plaza Bakers,BAKERS,4405 N 72Nd St,Omaha,NE,68134,4025713057,41.2983665,-96.0221417,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,32
61500315,Baker's - Eagle Run,BAKERS,13250 W Maple Rd,Omaha,NE,68164,4024969200,41.2946151,-96.1214874,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,43
61500320,Baker's - Lakeside,BAKERS,17370 Lakeside Hills Plz,Omaha,NE,68130,4023332454,41.2360633,-96.1862438,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,42
61500321,Baker's - Pepperwood,BAKERS,505 N 155Th Plz,Omaha,NE,68154,4024985717,41.263934,-96.1549669,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,40
61500311,Baker's - Plaza North 90th St,BAKERS,5555 N 90th St,Omaha,NE,68134,4025716850,41.308659,-96.050636,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
61500319,Baker's - Saddlecreek,BAKERS,888 S Saddle Creek Rd,Omaha,NE,68106,4025510613,41.2509107,-95.9870201,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,38
61500316,Baker's - Weber,BAKERS,7312 N 30Th St,Omaha,NE,68112,4024517070,41.326175,-95.958872,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,25
61500302,Baker's - Westwood Bakers,BAKERS,12025 W Center Rd,Omaha,NE,68144,4023345290,41.232696,-96.1017947,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,33
62000422,City Market - Alamosa,CITYMARKET,131 Market St,Alamosa,CO,81101,7195892492,37.4758336,-105.8916844,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,30
62000416,City Market - Aspen,CITYMARKET,711 E Cooper Ave,Aspen,CO,81611,9709252590,39.1871992,-106.8157882,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,21
62000499,City Market - Aspen Pharmacy,CITYMARKET,685 E Cooper Ave,Aspen,CO,81611,9709207230,39.187424,-106.816734,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,6
62000426,City Market - Avon,CITYMARKET,72 Beaver Creek Pl,Avon,CO,81620,9709495409,39.633836,-106.517577,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,36
62000430,City Market - Breckenridge,CITYMARKET,400 N Park Ave,Breckenridge,CO,80424,9704530818,39.488771,-106.046866,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
62000437,City Market - Buena Vista,CITYMARKET,438 US Highway 24 N,Buena Vista,CO,81211,7193952431,38.836912,-106.131222,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,19
62000417,City Market - Canon City,CITYMARKET,1703 Fremont Dr,Canon City,CO,81212,7192751595,38.4487203,-105.2238959,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
62000447,City Market - Carbondale,CITYMARKET,905 Highway 133,Carbondale,CO,81623,9702335205,39.40326,-107.222205,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,27
62000408,City Market - Cortez,CITYMARKET,508 E Main St,Cortez,CO,81321,9705656504,37.3494882,-108.5777694,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
62000415,City Market - Craig,CITYMARKET,505 W Victory Way,Craig,CO,81625,9708246515,40.5150144,-107.5538186,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,19
62000404,City Market - Delta,CITYMARKET,122 Gunnison River Dr,Delta,CO,81416,9708749718,38.7475539,-108.0722945,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,21
62000420,City Market - Dillon Ridge Road,CITYMARKET,300 Dillon Ridge Way,Dillon,CO,80435,9704682363,39.630504,-106.055478,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,36
62000421,City Market - Main Avenue Durango,CITYMARKET,3130 Main Ave,Durango,CO,81301,9702590240,37.2999012,-107.870071,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,28
62000406,City Market - South Durango,CITYMARKET,6 Town PLZ,Durango,CO,81301,9702474475,37.2742404,-107.8824442,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,33
62000434,City Market - Eagle,CITYMARKET,13 Market St,Eagle,CO,81631,9703281302,39.6628011,-106.8258317,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,26
62000433,City Market - El Jebel,CITYMARKET,250 E Valley Rd,El Jebel,CO,81623,9709633360,39.3914178,-107.0875876,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,30
62000413,City Market - Fruita,CITYMARKET,135 S Plum St,Fruita,CO,81521,9708589506,39.1577506,-108.7352014,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,26
62000405,City Market - Glenwood Springs,CITYMARKET,1410 Grand Ave,Glenwood Springs,CO,81601,9709458207,39.5386301,-107.3232532,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,30
62000446,City Market - Granby,CITYMARKET,1001 Thompson Rd,Granby,CO,80446,9708877140,40.062807,-105.929407,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
62000444,City Market - 12th Street Grand Junction,CITYMARKET,2600 N 12th St,Grand Junction,CO,81501,9706287555,39.090791,-108.550707,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,38
62000451,City Market - 24 Road Grand Junction,CITYMARKET,630 24 Rd,Grand Junction,CO,81505,9702448100,39.0967788,-108.6070626,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,33
62000425,City Market - Clifton,CITYMARKET,569 32 Rd,Grand Junction,CO,81504,9704349603,39.0874893,-108.4614428,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,27
62000401,City Market - Orchard Mesa,CITYMARKET,2770 Highway 50,Grand Junction,CO,81503,9702451411,39.0399609,-108.5389668,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,24
62000419,City Market - Gunnison,CITYMARKET,880 N Main St,Gunnison,CO,81230,9706413816,38.5532667,-106.9253503,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,32
62000429,City Market - Hotchkiss,CITYMARKET,215 6th St,Hotchkiss,CO,81419,9708085080,38.7996133,-107.712441,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,19
62000403,City Market - Downtown Montrose,CITYMARKET,128 S Townsend Ave,Montrose,CO,81401,9702493405,38.4766602,-107.8777482,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,24
62000440,City Market - South Montrose,CITYMARKET,16400 S Townsend Ave,Montrose,CO,81401,9702403236,38.4528667,-107.8648684,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,34
62000441,City Market - New Castle,CITYMARKET,850 Castle Valley Blvd,New Castle,CO,81647,9709849715,39.5686385,-107.5137036,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,16
62000445,City Market - Pagosa,CITYMARKET,165 Country Center Dr,Pagosa Springs,CO,81147,9707316000,37.2571364,-107.0762517,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
62000443,City Market - Rifle,CITYMARKET,1320 Railroad Ave,Rifle,CO,81650,9706253080,39.5425664,-107.782684,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,22
62000414,City Market - Steamboat Springs,CITYMARKET,1825 Central Park Dr,Steamboat Springs,CO,80487,9708793290,40.4630805,-106.8215977,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,33
62000442,City Market - Vail,CITYMARKET,2109 N Frontage Rd W,Vail,CO,81657,9704761017,39.63242,-106.416406,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,24
62000431,City Market - Gold Hill Woodland Park,CITYMARKET,777 Gold Hill Pl S,Woodland Park,CO,80863,7196873592,38.9912382,-105.0591432,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,23
62000410,City Market - Moab,CITYMARKET,425 S Main St,Moab,UT,84532,4354125121,38.5669581,-109.5492495,,False,active,Returned by Kroger official Locations API on 2026-09-01,Kroger official Locations API,2026-09-01T20:17:21.472587+00:00,29
