state,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
CA,289,289,0,0,0,3
OH,210,210,0,0,206,2
TX,202,202,0,0,202,1
GA,167,167,0,0,166,2
CO,154,154,0,0,0,2
IN,149,149,0,0,103,5
NC,148,148,0,0,0,1
AZ,135,135,0,0,0,2
MI,122,122,0,0,122,1
TN,120,120,0,0,118,2
KY,119,119,0,0,112,2
VA,117,117,0,0,66,2
WA,108,108,0,0,0,2
WI,100,100,0,0,0,2
IL,89,89,0,0,30,4
KS,63,63,0,0,0,1
UT,58,58,0,0,0,2
OR,54,54,0,0,0,2
NV,47,47,0,0,0,1
SC,43,43,0,0,13,2
WV,36,36,0,0,36,1
MS,29,29,0,0,29,1
AR,26,26,0,0,26,1
NM,23,23,0,0,0,1
MD,15,15,0,0,0,1
MO,14,14,0,0,3,3
ID,14,14,0,0,0,2
AL,11,11,0,0,11,1
AK,11,11,0,0,0,1
NE,11,11,0,0,0,1
WY,9,9,0,0,0,3
LA,7,7,0,0,7,1
MT,4,4,0,0,0,1
DC,3,3,0,0,0,1
DE,2,2,0,0,0,1
FL,1,1,0,0,0,1
