state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
NC,28277,6,6,0,0,0,1
NC,28104,5,5,0,0,0,1
NC,27410,4,4,0,0,0,1
NC,27705,4,4,0,0,0,1
SC,29412,4,4,0,0,0,1
TN,37064,4,4,0,0,4,1
AR,71913,3,3,0,0,3,1
AZ,85282,3,3,0,0,0,1
AZ,85295,3,3,0,0,0,1
AZ,85308,3,3,0,0,0,1
AZ,85710,3,3,0,0,0,1
CA,90045,3,3,0,0,0,1
CA,90047,3,3,0,0,0,2
CA,90064,3,3,0,0,0,1
CA,90505,3,3,0,0,0,1
CA,92201,3,3,0,0,0,2
CO,80003,3,3,0,0,0,1
CO,80013,3,3,0,0,0,1
CO,80122,3,3,0,0,0,1
CO,80134,3,3,0,0,0,1
CO,80222,3,3,0,0,0,1
CO,80504,3,3,0,0,0,1
CO,80525,3,3,0,0,0,1
GA,30004,3,3,0,0,3,1
GA,30022,3,3,0,0,3,1
GA,30024,3,3,0,0,3,1
GA,30064,3,3,0,0,3,1
GA,31210,3,3,0,0,3,1
IN,47304,3,3,0,0,0,2
KS,66614,3,3,0,0,0,1
KS,67203,3,3,0,0,0,1
KS,67401,3,3,0,0,0,1
KS,67501,3,3,0,0,0,1
KY,40241,3,3,0,0,3,1
KY,40356,3,3,0,0,3,1
KY,41051,3,3,0,0,3,1
KY,42701,3,3,0,0,3,1
MI,48066,3,3,0,0,3,1
NC,27106,3,3,0,0,0,1
NC,27519,3,3,0,0,0,1
NC,27587,3,3,0,0,0,1
NC,27612,3,3,0,0,0,1
NC,28078,3,3,0,0,0,1
NC,28209,3,3,0,0,0,1
NC,28226,3,3,0,0,0,1
NC,28403,3,3,0,0,0,1
NC,28412,3,3,0,0,0,1
NM,87110,3,3,0,0,0,1
NM,87111,3,3,0,0,0,1
OH,43130,3,3,0,0,3,1
OH,43213,3,3,0,0,3,1
OH,45044,3,3,0,0,3,1
OH,45202,3,3,0,0,3,1
SC,29464,3,3,0,0,0,1
TN,37075,3,3,0,0,3,1
TN,37211,3,3,0,0,3,1
TN,38002,3,3,0,0,3,1
TN,38305,3,3,0,0,3,1
TX,75034,3,3,0,0,3,1
TX,77379,3,3,0,0,3,1
TX,77433,3,3,0,0,3,1
TX,77494,3,3,0,0,3,1
TX,77573,3,3,0,0,3,1
VA,22903,3,3,0,0,1,2
VA,23320,3,3,0,0,1,2
VA,23322,3,3,0,0,2,2
VA,24018,3,3,0,0,3,1
VA,24153,3,3,0,0,3,1
WA,98034,3,3,0,0,0,2
WV,26505,3,3,0,0,3,1
AL,35758,2,2,0,0,2,1
AR,72116,2,2,0,0,2,1
AR,72205,2,2,0,0,2,1
AR,72223,2,2,0,0,2,1
AZ,85016,2,2,0,0,0,1
AZ,85029,2,2,0,0,0,1
AZ,85032,2,2,0,0,0,1
AZ,85042,2,2,0,0,0,1
AZ,85053,2,2,0,0,0,1
AZ,85085,2,2,0,0,0,1
AZ,85122,2,2,0,0,0,1
AZ,85142,2,2,0,0,0,1
AZ,85233,2,2,0,0,0,1
AZ,85234,2,2,0,0,0,1
AZ,85249,2,2,0,0,0,1
AZ,85254,2,2,0,0,0,1
AZ,85258,2,2,0,0,0,1
AZ,85283,2,2,0,0,0,1
AZ,85301,2,2,0,0,0,1
AZ,85326,2,2,0,0,0,1
AZ,85331,2,2,0,0,0,1
AZ,85382,2,2,0,0,0,1
AZ,85383,2,2,0,0,0,1
AZ,85388,2,2,0,0,0,1
AZ,85392,2,2,0,0,0,1
AZ,85737,2,2,0,0,0,1
CA,90006,2,2,0,0,0,1
CA,90036,2,2,0,0,0,1
CA,90250,2,2,0,0,0,2
CA,90292,2,2,0,0,0,1
CA,90605,2,2,0,0,0,2
CA,91331,2,2,0,0,0,1
CA,91344,2,2,0,0,0,1
CA,91364,2,2,0,0,0,1
CA,91406,2,2,0,0,0,2
CA,91423,2,2,0,0,0,1
CA,91604,2,2,0,0,0,1
CA,91739,2,2,0,0,0,2
CA,91754,2,2,0,0,0,1
CA,91911,2,2,0,0,0,2
CA,92108,2,2,0,0,0,2
CA,92115,2,2,0,0,0,2
CA,92308,2,2,0,0,0,1
CA,92392,2,2,0,0,0,1
CA,92503,2,2,0,0,0,2
CA,92507,2,2,0,0,0,2
CA,92604,2,2,0,0,0,1
CA,92629,2,2,0,0,0,1
CA,92630,2,2,0,0,0,1
CA,92660,2,2,0,0,0,1
CA,92673,2,2,0,0,0,1
CA,92832,2,2,0,0,0,2
CO,80007,2,2,0,0,0,1
CO,80011,2,2,0,0,0,1
CO,80012,2,2,0,0,0,1
CO,80016,2,2,0,0,0,1
CO,80020,2,2,0,0,0,1
CO,80022,2,2,0,0,0,1
CO,80027,2,2,0,0,0,1
CO,80108,2,2,0,0,0,1
CO,80110,2,2,0,0,0,1
CO,80111,2,2,0,0,0,1
CO,80126,2,2,0,0,0,1
CO,80128,2,2,0,0,0,1
CO,80219,2,2,0,0,0,1
CO,80227,2,2,0,0,0,1
CO,80233,2,2,0,0,0,1
CO,80260,2,2,0,0,0,1
CO,80301,2,2,0,0,0,1
CO,80501,2,2,0,0,0,1
CO,80601,2,2,0,0,0,1
CO,80602,2,2,0,0,0,1
CO,80634,2,2,0,0,0,1
CO,80918,2,2,0,0,0,1
CO,80920,2,2,0,0,0,1
CO,80921,2,2,0,0,0,1
CO,81301,2,2,0,0,0,1
CO,81401,2,2,0,0,0,1
